config,log_type,mean_fitness,median_fitness,n_alive,run_id,seed,time,wave,damage,dodged_bullets,enemy_id,fitness,lifespan
base,wave_snapshot,0.24903217037037,0.249205311111111,6.0,13,931658,2.0,1,,,,,
base,wave_snapshot,0.449162481481482,0.449335622222222,6.0,13,931658,3.0,1,,,,,
base,wave_snapshot,0.649208059259264,0.649381200000005,6.0,13,931658,4.0,1,,,,,
base,wave_snapshot,0.849317859259269,0.849491000000009,6.0,13,931658,5.0,1,,,,,
base,wave_snapshot,2.88270205925927,1.04954186666668,6.0,13,931658,6.0,1,,,,,
base,wave_snapshot,3.4161730814815,1.24967955555557,6.0,13,931658,7.0,1,,,,,
base,wave_snapshot,3.78292257037039,1.4497623777778,6.0,13,931658,8.0,1,,,,,
base,wave_snapshot,3.98248583703706,1.64932564444447,6.0,13,931658,9.0,1,,,,,
base,wave_snapshot,4.18248561481483,1.84932542222223,6.0,13,931658,10.0,1,,,,,
base,wave_snapshot,4.3829438814815,2.0497836888889,6.0,13,931658,11.0,1,,,,,
base,wave_snapshot,4.58264041481481,2.24948022222222,6.0,13,931658,12.0,1,,,,,
base,wave_snapshot,4.78240788148148,2.44924768888888,6.0,13,931658,13.0,1,,,,,
base,wave_snapshot,4.9819707132275,2.64881052063491,6.0,13,931658,14.0,1,,,,,
base,wave_snapshot,5.1828730148148,2.8497128222222,6.0,13,931658,15.0,1,,,,,
base,wave_snapshot,5.71619034814811,3.04969682222218,6.0,13,931658,16.0,1,,,,,
base,wave_snapshot,6.41527959259254,3.24878606666661,6.0,13,931658,17.0,1,,,,,
base,wave_snapshot,6.61615834814808,3.44966482222215,6.0,13,931658,18.0,1,,,,,
base,wave_snapshot,6.81614234814812,3.64964882222218,6.0,13,931658,19.0,1,,,,,
base,wave_snapshot,7.01612634814815,3.84963282222221,6.0,13,931658,20.0,1,,,,,
base,wave_snapshot,7.21611034814818,4.04961682222224,6.0,13,931658,21.0,1,,,,,
base,wave_snapshot,7.41609434814821,4.24960082222228,6.0,13,931658,22.0,1,,,,,
base,wave_snapshot,7.61607834814825,4.44958482222231,6.0,13,931658,23.0,1,,,,,
base,wave_snapshot,7.81606234814828,4.64956882222234,6.0,13,931658,24.0,1,,,,,
base,wave_snapshot,8.01604634814831,4.84955282222237,6.0,13,931658,25.0,1,,,,,
base,wave_snapshot,8.21603034814835,5.04953682222241,6.0,13,931658,26.0,1,,,,,
base,wave_snapshot,8.41601434814838,5.24952082222244,6.0,13,931658,27.0,1,,,,,
base,wave_snapshot,8.61599834814841,5.44950482222247,6.0,13,931658,28.0,1,,,,,
base,wave_snapshot,8.81598234814844,5.6494888222225,6.0,13,931658,29.0,1,,,,,
base,wave_snapshot,9.01596634814848,5.84947282222254,6.0,13,931658,30.0,1,,,,,
base,wave_snapshot,9.21595034814851,6.04945682222257,6.0,13,931658,31.0,1,,,,,
base,wave_snapshot,9.41593434814854,6.2494408222226,6.0,13,931658,32.0,1,,,,,
base,wave_snapshot,9.61591834814854,6.44942482222261,6.0,13,931658,33.0,1,,,,,
base,wave_snapshot,9.81590234814848,6.64940882222254,6.0,13,931658,34.0,1,,,,,
base,wave_snapshot,10.0158863481484,6.84939282222247,6.0,13,931658,35.0,1,,,,,
base,wave_snapshot,10.2158703481483,7.0493768222224,6.0,13,931658,36.0,1,,,,,
base,wave_snapshot,10.4158543481483,7.24936082222233,6.0,13,931658,37.0,1,,,,,
base,wave_snapshot,10.6153602148149,7.44886668888894,6.0,13,931658,38.0,1,,,,,
base,wave_snapshot,10.8158223481482,7.64932882222221,6.0,13,931658,39.0,1,,,,,
base,wave_snapshot,11.0158063481481,7.84931282222214,6.0,13,931658,40.0,1,,,,,
base,wave_snapshot,11.215790348148,8.04929682222207,6.0,13,931658,41.0,1,,,,,
base,wave_snapshot,11.4157743481479,8.249280822222,6.0,13,931658,42.0,1,,,,,
base,wave_snapshot,11.6157583481479,8.44926482222193,6.0,13,931658,43.0,1,,,,,
base,wave_snapshot,11.8157423481478,8.64924882222186,6.0,13,931658,44.0,1,,,,,
base,wave_snapshot,12.0157263481477,8.84923282222179,6.0,13,931658,45.0,1,,,,,
base,wave_snapshot,12.2157103481477,9.04921682222172,6.0,13,931658,46.0,1,,,,,
