config,log_type,mean_fitness_alive,n_alive,run_id,seed,time,wave,damage,dodged_bullets,enemy_id,fitness,lifespan
base,wave_snapshot,0.101388888888889,4.0,13,599697,1.0,1,,,,,
base,wave_snapshot,0.200242266666666,8.0,13,599697,2.0,1,,,,,
base,wave_snapshot,0.297945381481482,12.0,13,599697,3.0,1,,,,,
base,wave_snapshot,0.421978743703704,15.0,13,599697,4.0,1,,,,,
base,wave_snapshot,0.622163338412698,15.0,13,599697,5.0,1,,,,,
base,wave_snapshot,0.821787202962964,15.0,13,599697,6.0,1,,,,,
base,wave_snapshot,1.02247117872054,15.0,13,599697,7.0,1,,,,,
base,wave_snapshot,1.2228457362963,15.0,13,599697,8.0,1,,,,,
base,wave_snapshot,1.4228475362963,15.0,13,599697,9.0,1,,,,,
base,wave_snapshot,1.62282471407409,15.0,13,599697,10.0,1,,,,,
base,wave_snapshot,1.82287114582013,15.0,13,599697,11.0,1,,,,,
base,wave_snapshot,2.0232058124868,15.0,13,599697,12.0,1,,,,,
base,wave_snapshot,2.21937940296299,15.0,13,599697,13.0,1,,,,,
base,wave_snapshot,2.41948997333336,15.0,13,599697,14.0,1,,,,,
base,wave_snapshot,2.61885313629633,15.0,13,599697,15.0,1,,,,,
base,wave_snapshot,2.953639202963,15.0,13,599697,16.0,1,,,,,
base,death,,,13,599697,16.0441033333336,1,0.0,2.0,12.0,4.57830620000003,12.8915310000001
base,wave_snapshot,3.03732374126988,14.0,13,599697,17.0,1,,,,,
base,wave_snapshot,3.23861418908132,14.0,13,599697,18.0,1,,,,,
base,wave_snapshot,3.43814203217897,14.0,13,599697,19.0,1,,,,,
base,wave_snapshot,3.63984894126987,14.0,13,599697,20.0,1,,,,,
base,wave_snapshot,3.90964151269845,14.0,13,599697,21.0,1,,,,,
base,wave_snapshot,4.11053444603178,14.0,13,599697,22.0,1,,,,,
base,wave_snapshot,4.30955464603178,14.0,13,599697,23.0,1,,,,,
base,wave_snapshot,4.50843844603178,14.0,13,599697,24.0,1,,,,,
base,wave_snapshot,4.70934631269844,14.0,13,599697,25.0,1,,,,,
base,wave_snapshot,4.98388061746035,14.0,13,599697,26.0,1,,,,,
base,wave_snapshot,5.17910601746035,14.0,13,599697,27.0,1,,,,,
base,wave_snapshot,5.45495018888892,14.0,13,599697,28.0,1,,,,,
base,wave_snapshot,5.65561978888892,14.0,13,599697,29.0,1,,,,,
base,death,,,13,599697,30.0166666666669,1,0.0,1.0,0.0,6.97600980000004,29.8800490000002
base,death,,,13,599697,30.0166666666669,1,0.0,0.0,1.0,5.92600980000004,29.6300490000002
base,death,,,13,599697,30.0166666666669,1,0.0,0.0,2.0,5.87600980000004,29.3800490000002
base,death,,,13,599697,30.0166666666669,1,0.0,0.0,3.0,5.82600980000003,29.1300490000002
base,death,,,13,599697,30.0166666666669,1,0.0,2.0,4.0,7.77600980000003,28.8800490000002
base,death,,,13,599697,30.0166666666669,1,0.0,0.0,5.0,5.72600980000003,28.6300490000002
base,death,,,13,599697,30.0166666666669,1,0.0,0.0,6.0,5.67491584444448,28.3745792222224
base,death,,,13,599697,30.0166666666669,1,0.0,0.0,7.0,5.62383744444448,28.1191872222224
base,death,,,13,599697,30.0166666666669,1,0.0,0.0,8.0,5.5726764666667,27.8633823333335
base,death,,,13,599697,30.0166666666669,1,0.0,0.0,9.0,5.52173382222226,27.6086691111113
base,death,,,13,599697,30.0166666666669,1,0.0,0.0,10.0,5.47066768888892,27.3533384444446
base,death,,,13,599697,30.0166666666669,1,0.0,0.0,11.0,5.41957531111114,27.0978765555557
base,death,,,13,599697,30.0166666666669,1,0.0,0.0,13.0,5.31724740000003,26.5862370000001
