config,log_type,mean_fitness_alive,n_alive,run_id,seed,time,wave,damage,enemy_id,fitness,lifespan
base,wave_snapshot,0.157083333333333,2.0,1,117964,1.0,1,,,,
base,wave_snapshot,0.354792211111111,4.0,1,117964,2.0,1,,,,
base,wave_snapshot,0.654128448888891,5.0,1,117964,3.0,1,,,,
base,wave_snapshot,1.05424358222223,5.0,1,117964,4.0,1,,,,
base,wave_snapshot,1.4543330488889,5.0,1,117964,5.0,1,,,,
base,death,,,1,117964,5.31528355555563,1,0.0,4.0,1.17453275555556,5.87266377777782
base,wave_snapshot,3.20523590000002,4.0,1,117964,6.0,1,,,,
base,wave_snapshot,3.60530743333337,4.0,1,117964,7.0,1,,,,
base,wave_snapshot,4.00400472222227,4.0,1,117964,8.0,1,,,,
base,death,,,1,117964,8.44805555555569,1,1.0,2.0,7.82928653333338,14.1464326666669
base,wave_snapshot,3.18899147946133,3.0,1,117964,9.0,1,,,,
base,wave_snapshot,3.58942063703708,3.0,1,117964,10.0,1,,,,
base,wave_snapshot,3.98894479461282,3.0,1,117964,11.0,1,,,,
base,wave_snapshot,4.3889447946128,3.0,1,117964,12.0,1,,,,
base,wave_snapshot,6.45621752188552,3.0,1,117964,13.0,1,,,,
base,wave_snapshot,6.85536655824914,3.0,1,117964,14.0,1,,,,
base,death,,,1,117964,14.0645533333334,1,1.0,1.0,10.2806416444444,26.4032082222221
base,wave_snapshot,5.554324430303,2.0,1,117964,15.0,1,,,,
base,wave_snapshot,5.95441488484845,2.0,1,117964,16.0,1,,,,
base,death,,,1,117964,16.7288205151516,1,0.0,3.0,5.94135370303027,29.7067685151513
base,wave_snapshot,6.65846768484843,1.0,1,117964,17.0,1,,,,
base,wave_snapshot,7.05808922424236,1.0,1,117964,18.0,1,,,,
base,wave_snapshot,7.45785348484841,1.0,1,117964,19.0,1,,,,
base,wave_snapshot,7.858362290909,1.0,1,117964,20.0,1,,,,
base,wave_snapshot,8.25881683636353,1.0,1,117964,21.0,1,,,,
base,wave_snapshot,8.65881683636352,1.0,1,117964,22.0,1,,,,
base,wave_snapshot,9.05872888484835,1.0,1,117964,23.0,1,,,,
base,wave_snapshot,9.45821077575744,1.0,1,117964,24.0,1,,,,
base,wave_snapshot,9.85441396363622,1.0,1,117964,25.0,1,,,,
base,wave_snapshot,10.258828751515,1.0,1,117964,26.0,1,,,,
base,wave_snapshot,10.6587674060604,1.0,1,117964,27.0,1,,,,
base,wave_snapshot,11.0588379333332,1.0,1,117964,28.0,1,,,,
base,wave_snapshot,11.4586653212119,1.0,1,117964,29.0,1,,,,
base,death,,,1,117964,30.0045454545455,1,0.0,0.0,11.8583622909089,59.2918114545444
base,wave_snapshot,0.296853806060606,2.0,1,117964,1.0,2,,,,
base,wave_snapshot,0.494233989153439,4.0,1,117964,2.0,2,,,,
base,death,,,1,117964,2.81221290909091,2,0.0,5.0,1.12092743030303,5.60463715151517
base,wave_snapshot,0.692854135690237,4.0,1,117964,3.0,2,,,,
base,wave_snapshot,1.09229748720539,4.0,1,117964,4.0,2,,,,
base,wave_snapshot,1.49300565084176,4.0,1,117964,5.0,2,,,,
base,wave_snapshot,1.89231245690238,4.0,1,117964,6.0,2,,,,
base,wave_snapshot,3.54270262053875,4.0,1,117964,7.0,2,,,,
base,death,,,1,117964,7.96161493939409,2,0.0,9.0,2.37372036094279,11.8686018047139
base,wave_snapshot,4.46049468686872,3.0,1,117964,8.0,2,,,,
base,wave_snapshot,4.85974998989903,3.0,1,117964,9.0,2,,,,
base,wave_snapshot,5.26064620202023,3.0,1,117964,10.0,2,,,,
base,death,,,1,117964,10.3634703939395,2,1.0,8.0,8.53498533333337,17.6749266666668
base,wave_snapshot,4.09335915151516,2.0,1,117964,11.0,2,,,,
base,wave_snapshot,4.49420415757576,2.0,1,117964,12.0,2,,,,
base,wave_snapshot,4.89487430303029,2.0,1,117964,13.0,2,,,,
base,wave_snapshot,5.29487430303028,2.0,1,117964,14.0,2,,,,
base,wave_snapshot,5.69447547272723,2.0,1,117964,15.0,2,,,,
base,wave_snapshot,6.09365393939388,2.0,1,117964,16.0,2,,,,
base,wave_snapshot,6.49487430303023,2.0,1,117964,17.0,2,,,,
base,wave_snapshot,6.89433843636356,2.0,1,117964,18.0,2,,,,
base,death,,,1,117964,18.1290391818182,2,0.0,6.0,7.04620303636355,35.2310151818178
base,wave_snapshot,7.19189292727264,1.0,1,117964,19.0,2,,,,
base,wave_snapshot,7.59229043030293,1.0,1,117964,20.0,2,,,,
base,wave_snapshot,7.99218512727261,1.0,1,117964,21.0,2,,,,
base,wave_snapshot,8.39203041818169,1.0,1,117964,22.0,2,,,,
base,wave_snapshot,8.7921819333332,1.0,1,117964,23.0,2,,,,
base,wave_snapshot,9.19192789696955,1.0,1,117964,24.0,2,,,,
base,wave_snapshot,9.59157587272712,1.0,1,117964,25.0,2,,,,
base,wave_snapshot,9.99124527878771,1.0,1,117964,26.0,2,,,,
base,wave_snapshot,10.3926364787877,1.0,1,117964,27.0,2,,,,
base,wave_snapshot,10.7922868969695,1.0,1,117964,28.0,2,,,,
base,wave_snapshot,11.1914243575756,1.0,1,117964,29.0,2,,,,
base,death,,,1,117964,30.0041122727273,2,0.0,7.0,11.5921965515149,57.9609827575747
base,wave_snapshot,0.293069345454545,2.0,1,117964,1.0,3,,,,
base,wave_snapshot,0.495095278787879,4.0,1,117964,2.0,3,,,,
base,wave_snapshot,0.790703426666669,5.0,1,117964,3.0,3,,,,
base,wave_snapshot,1.19472624484849,5.0,1,117964,4.0,3,,,,
base,death,,,1,117964,4.75075757575761,3,0.0,13.0,1.2889393939394,6.444696969697
base,wave_snapshot,1.64557625303032,4.0,1,117964,5.0,3,,,,
base,wave_snapshot,2.04209140454548,4.0,1,117964,6.0,3,,,,
base,wave_snapshot,3.6952732227273,4.0,1,117964,7.0,3,,,,
base,wave_snapshot,4.0911823136364,4.0,1,117964,8.0,3,,,,
base,death,,,1,117964,8.01694006060621,3,0.0,14.0,2.3950088787879,11.9750443939395
base,wave_snapshot,5.06401592727277,3.0,1,117964,9.0,3,,,,
base,wave_snapshot,5.45931895757578,3.0,1,117964,10.0,3,,,,
base,wave_snapshot,5.86364883030304,3.0,1,117964,11.0,3,,,,
base,wave_snapshot,6.26386441212121,3.0,1,117964,12.0,3,,,,
base,wave_snapshot,6.66022804848483,3.0,1,117964,13.0,3,,,,
base,wave_snapshot,7.06358929696966,3.0,1,117964,14.0,3,,,,
base,death,,,1,117964,14.4522727272728,3,0.0,12.0,5.37378787878784,26.8689393939392
base,wave_snapshot,8.3936737454545,2.0,1,117964,15.0,3,,,,
base,wave_snapshot,8.793220860606,2.0,1,117964,16.0,3,,,,
base,wave_snapshot,9.19411108484841,2.0,1,117964,17.0,3,,,,
base,wave_snapshot,9.59761479999991,2.0,1,117964,18.0,3,,,,
base,death,,,1,117964,18.1666666666667,3,1.0,10.0,12.2616666666666,36.3083333333329
base,wave_snapshot,7.39707122424232,1.0,1,117964,19.0,3,,,,
base,wave_snapshot,7.79659883030292,1.0,1,117964,20.0,3,,,,
base,wave_snapshot,8.19644172121199,1.0,1,117964,21.0,3,,,,
base,wave_snapshot,8.59727027272714,1.0,1,117964,22.0,3,,,,
base,wave_snapshot,8.99340713939379,1.0,1,117964,23.0,3,,,,
base,wave_snapshot,9.39280535757559,1.0,1,117964,24.0,3,,,,
base,wave_snapshot,9.79674475151498,1.0,1,117964,25.0,3,,,,
base,wave_snapshot,10.1926538424241,1.0,1,117964,26.0,3,,,,
base,wave_snapshot,10.596744751515,1.0,1,117964,27.0,3,,,,
base,wave_snapshot,10.997350812121,1.0,1,117964,28.0,3,,,,
base,wave_snapshot,11.3971567090907,1.0,1,117964,29.0,3,,,,
base,death,,,1,117964,30.0075757575758,3,0.0,11.0,11.797350812121,58.9867540606049
base,wave_snapshot,0.295603021212121,2.0,1,117964,1.0,4,,,,
base,wave_snapshot,0.493191754545455,4.0,1,117964,2.0,4,,,,
base,wave_snapshot,0.791591192727275,5.0,1,117964,3.0,4,,,,
base,wave_snapshot,1.19234315030304,5.0,1,117964,4.0,4,,,,
base,death,,,1,117964,4.07045454545457,4,0.0,17.0,1.22005886666667,6.10029433333337
base,wave_snapshot,1.59210611818183,4.0,1,117964,5.0,4,,,,
base,wave_snapshot,1.99227196666669,4.0,1,117964,6.0,4,,,,
base,wave_snapshot,2.39227100909094,4.0,1,117964,7.0,4,,,,
base,wave_snapshot,2.79109603939398,4.0,1,117964,8.0,4,,,,
base,death,,,1,117964,8.67803030303044,4,0.0,16.0,3.26286436969701,16.3143218484851
base,wave_snapshot,3.12381213939398,3.0,1,117964,9.0,4,,,,
base,wave_snapshot,3.52409245454549,3.0,1,117964,10.0,4,,,,
base,wave_snapshot,3.92394093939397,3.0,1,117964,11.0,4,,,,
base,wave_snapshot,4.3246024666667,3.0,1,117964,12.0,4,,,,
base,death,,,1,117964,12.1075934545457,4,0.0,18.0,4.23257929696974,21.1628964848487
base,wave_snapshot,4.79197305151517,2.0,1,117964,13.0,4,,,,
base,wave_snapshot,5.19168765151517,2.0,1,117964,14.0,4,,,,
base,wave_snapshot,5.59143145151517,2.0,1,117964,15.0,4,,,,
base,wave_snapshot,5.9916689848485,2.0,1,117964,16.0,4,,,,
base,wave_snapshot,6.39166898484849,2.0,1,117964,17.0,4,,,,
base,wave_snapshot,6.79136595454546,2.0,1,117964,18.0,4,,,,
base,wave_snapshot,9.69106292424241,2.0,1,117964,19.0,4,,,,
base,wave_snapshot,10.0916557545454,2.0,1,117964,20.0,4,,,,
base,wave_snapshot,10.4909114090909,2.0,1,117964,21.0,4,,,,
base,wave_snapshot,10.8915845478114,2.0,1,117964,22.0,4,,,,
base,wave_snapshot,11.2912144393939,2.0,1,117964,23.0,4,,,,
base,wave_snapshot,11.6909114090908,2.0,1,117964,24.0,4,,,,
base,wave_snapshot,12.0913659545454,2.0,1,117964,25.0,4,,,,
base,wave_snapshot,12.4915174696969,2.0,1,117964,26.0,4,,,,
base,wave_snapshot,12.8909114090908,2.0,1,117964,27.0,4,,,,
base,wave_snapshot,13.2912144393938,2.0,1,117964,28.0,4,,,,
base,wave_snapshot,13.691141851515,2.0,1,117964,29.0,4,,,,
base,death,,,1,117964,30.0030303030306,4,1.0,15.0,16.9974242424241,59.9871212121204
base,death,,,1,117964,30.0030303030306,4,0.0,19.0,11.1853076666665,55.9265383333326
base,wave_snapshot,0.296858866666667,2.0,1,117964,1.0,5,,,,
base,wave_snapshot,0.496480303367004,4.0,1,117964,2.0,5,,,,
base,wave_snapshot,0.795097945723908,5.0,1,117964,3.0,5,,,,
base,death,,,1,117964,3.97750429966333,5,0.0,21.0,1.38728894478115,6.93644472390576
base,wave_snapshot,1.14601477592593,4.0,1,117964,4.0,5,,,,
base,wave_snapshot,1.54477240488217,4.0,1,117964,5.0,5,,,,
base,wave_snapshot,1.94491914427611,4.0,1,117964,6.0,5,,,,
base,death,,,1,117964,6.9934604848486,5,0.0,23.0,2.18958512323235,10.9479256161617
base,wave_snapshot,2.3953759391695,3.0,1,117964,7.0,5,,,,
base,wave_snapshot,2.79553829068466,3.0,1,117964,8.0,5,,,,
base,wave_snapshot,3.19644738159376,3.0,1,117964,9.0,5,,,,
base,wave_snapshot,3.59644738159375,3.0,1,117964,10.0,5,,,,
base,wave_snapshot,3.99517886038161,3.0,1,117964,11.0,5,,,,
base,wave_snapshot,4.39629586644221,3.0,1,117964,12.0,5,,,,
base,wave_snapshot,4.79653613916947,3.0,1,117964,13.0,5,,,,
base,wave_snapshot,5.19568980583612,3.0,1,117964,14.0,5,,,,
base,wave_snapshot,5.59638994523004,3.0,1,117964,15.0,5,,,,
base,wave_snapshot,5.99538677553306,3.0,1,117964,16.0,5,,,,
base,wave_snapshot,6.39645713916943,3.0,1,117964,17.0,5,,,,
base,wave_snapshot,6.79557953916943,3.0,1,117964,18.0,5,,,,
base,wave_snapshot,7.19533113916944,3.0,1,117964,19.0,5,,,,
base,wave_snapshot,7.59554493916945,3.0,1,117964,20.0,5,,,,
base,wave_snapshot,7.9953867755331,3.0,1,117964,21.0,5,,,,
base,wave_snapshot,8.39578933916946,3.0,1,117964,22.0,5,,,,
base,wave_snapshot,8.79651049068459,3.0,1,117964,23.0,5,,,,
base,wave_snapshot,9.19666129068458,3.0,1,117964,24.0,5,,,,
base,wave_snapshot,9.59553829068457,3.0,1,117964,25.0,5,,,,
base,wave_snapshot,9.99553829068456,3.0,1,117964,26.0,5,,,,
base,wave_snapshot,10.3963636906846,3.0,1,117964,27.0,5,,,,
base,wave_snapshot,10.7955382906845,3.0,1,117964,28.0,5,,,,
base,wave_snapshot,11.195386775533,3.0,1,117964,29.0,5,,,,
base,death,,,1,117964,30.000637484849,5,0.0,20.0,11.9970362666665,59.9851813333327
base,death,,,1,117964,30.000637484849,5,0.0,22.0,11.5970049696969,57.9850248484843
base,death,,,1,117964,30.000637484849,5,0.0,24.0,11.1916645447811,55.9583227239053
base,wave_snapshot,0.298204745454545,2.0,1,117964,1.0,6,,,,
base,wave_snapshot,0.491735354545455,4.0,1,117964,2.0,6,,,,
base,death,,,1,117964,2.84649403030304,6,0.0,25.0,1.13445032121213,5.67225160606064
base,wave_snapshot,0.689754193939395,4.0,1,117964,3.0,6,,,,
base,wave_snapshot,1.09081480000001,4.0,1,117964,4.0,6,,,,
