config,log_type,mean_fitness,median_fitness,n_alive,run_id,seed,time,wave,damage,dodged_bullets,enemy_id,fitness,lifespan
deep_q,wave_snapshot,0.248026413227513,0.247854739682539,6.0,11,964502,2.0,1,,,,,
deep_q,wave_snapshot,0.447227635449735,0.447055961904761,6.0,11,964502,3.0,1,,,,,
deep_q,wave_snapshot,0.64793545026455,0.647763776719576,6.0,11,964502,4.0,1,,,,,
deep_q,wave_snapshot,0.844043368783069,0.843871695238095,6.0,11,964502,5.0,1,,,,,
deep_q,wave_snapshot,1.04818656878307,1.0480148952381,6.0,11,964502,6.0,1,,,,,
deep_q,wave_snapshot,1.41262163544974,1.2457832952381,6.0,11,964502,7.0,1,,,,,
deep_q,wave_snapshot,1.94814096878307,1.4479692952381,6.0,11,964502,8.0,1,,,,,
deep_q,wave_snapshot,2.31274023544974,1.6459018952381,6.0,11,964502,9.0,1,,,,,
deep_q,wave_snapshot,2.51477603544974,1.8479376952381,6.0,11,964502,10.0,1,,,,,
deep_q,wave_snapshot,2.71461143544974,2.0477730952381,6.0,11,964502,11.0,1,,,,,
deep_q,death,,,,11,964502,11.1112772083524,1,0.0,1.0,3.0,3.04515396548001,10.2257698274
deep_q,wave_snapshot,3.0522299201726,2.29915186666667,5.0,11,964502,12.0,1,,,,,
deep_q,death,,,,11,964502,12.3023913333333,1,0.0,5.0,0.0,7.43514186666667,12.1757093333333
deep_q,wave_snapshot,3.36238689795037,2.499235,4.0,11,964502,13.0,1,,,,,
deep_q,wave_snapshot,3.49574356461704,2.69927,4.0,11,964502,14.0,1,,,,,
deep_q,wave_snapshot,3.6285186312837,2.89843259999999,4.0,11,964502,15.0,1,,,,,
deep_q,wave_snapshot,3.76153005985513,3.05891935416857,4.0,11,964502,16.0,1,,,,,
deep_q,wave_snapshot,3.89507549054296,3.22240677777778,4.0,11,964502,17.0,1,,,,,
deep_q,wave_snapshot,4.02844272017258,3.4224576222222,4.0,11,964502,18.0,1,,,,,
deep_q,wave_snapshot,4.49521879424663,3.69848284444438,4.0,11,964502,19.0,1,,,,,
deep_q,wave_snapshot,4.79528306091328,3.89857924444435,4.0,11,964502,20.0,1,,,,,
deep_q,wave_snapshot,5.26203565350585,4.09870813333321,4.0,11,964502,21.0,1,,,,,
deep_q,wave_snapshot,5.72874592017252,4.29877353333322,4.0,11,964502,22.0,1,,,,,
deep_q,wave_snapshot,6.19540192017254,4.49875753333325,4.0,11,964502,23.0,1,,,,,
deep_q,wave_snapshot,6.4953912535059,4.69874153333329,4.0,11,964502,24.0,1,,,,,
deep_q,wave_snapshot,7.12871392017259,6.17956619999999,4.0,11,964502,25.0,1,,,,,
deep_q,wave_snapshot,8.59488885350594,6.27919740000001,4.0,11,964502,26.0,1,,,,,
deep_q,death,,,,11,964502,26.935374,1,1.0,5.0,2.0,17.2610927333334,26.3054636666668
deep_q,wave_snapshot,8.89334178683927,6.37958870000001,3.0,11,964502,27.0,1,,,,,
deep_q,wave_snapshot,8.99333378683929,6.47958070000002,3.0,11,964502,28.0,1,,,,,
deep_q,wave_snapshot,9.09332578683931,6.57957270000004,3.0,11,964502,29.0,1,,,,,
deep_q,wave_snapshot,9.19331778683932,6.67956470000006,3.0,11,964502,30.0,1,,,,,
deep_q,wave_snapshot,9.29330978683934,6.77955670000007,3.0,11,964502,31.0,1,,,,,
deep_q,wave_snapshot,9.39330178683936,6.87954870000009,3.0,11,964502,32.0,1,,,,,
deep_q,wave_snapshot,9.49329378683936,6.97954070000007,3.0,11,964502,33.0,1,,,,,
deep_q,wave_snapshot,9.59328578683934,7.07953270000004,3.0,11,964502,34.0,1,,,,,
deep_q,wave_snapshot,9.6932777868393,7.1795247,3.0,11,964502,35.0,1,,,,,
deep_q,wave_snapshot,9.79326978683927,7.27951669999997,3.0,11,964502,36.0,1,,,,,
deep_q,wave_snapshot,9.89326178683923,7.37950869999993,3.0,11,964502,37.0,1,,,,,
deep_q,wave_snapshot,9.9932537868392,7.4795006999999,3.0,11,964502,38.0,1,,,,,
deep_q,wave_snapshot,10.0932457868392,7.64798242222199,3.0,11,964502,39.0,1,,,,,
deep_q,wave_snapshot,10.1933007646169,7.84809237777748,3.0,11,964502,40.0,1,,,,,
deep_q,wave_snapshot,10.2932297868391,8.04795042222187,3.0,11,964502,41.0,1,,,,,
deep_q,wave_snapshot,10.3934192725534,8.24832939365048,3.0,11,964502,42.0,1,,,,,
deep_q,wave_snapshot,10.4933125296963,8.44811590793625,3.0,11,964502,43.0,1,,,,,
deep_q,wave_snapshot,10.5934351312836,8.64836111111084,3.0,11,964502,44.0,1,,,,,
deep_q,wave_snapshot,10.6930720460984,8.84763494074045,3.0,11,964502,45.0,1,,,,,
deep_q,wave_snapshot,10.7932449383543,9.04798072525224,3.0,11,964502,46.0,1,,,,,
deep_q,wave_snapshot,10.8935094868391,9.24850982222194,3.0,11,964502,47.0,1,,,,,
deep_q,wave_snapshot,10.9935774868391,9.44864582222194,3.0,11,964502,48.0,1,,,,,
deep_q,wave_snapshot,11.0935763201725,9.6486434888886,3.0,11,964502,49.0,1,,,,,
deep_q,wave_snapshot,11.1935763201725,9.84864348888859,3.0,11,964502,50.0,1,,,,,
deep_q,wave_snapshot,11.2930696201725,10.0476300888886,3.0,11,964502,51.0,1,,,,,
deep_q,wave_snapshot,11.3929172535058,10.2473253555552,3.0,11,964502,52.0,1,,,,,
deep_q,wave_snapshot,11.4931163928997,10.4477236343431,3.0,11,964502,53.0,1,,,,,
deep_q,wave_snapshot,11.5935972504755,10.6486853494946,3.0,11,964502,54.0,1,,,,,
deep_q,wave_snapshot,11.6931319686573,10.8477547858582,3.0,11,964502,55.0,1,,,,,
deep_q,wave_snapshot,11.7935859541792,11.048662756902,3.0,11,964502,56.0,1,,,,,
deep_q,wave_snapshot,11.8933909942465,11.2482728370367,3.0,11,964502,57.0,1,,,,,
deep_q,wave_snapshot,11.9935533556222,11.4485975597881,3.0,11,964502,58.0,1,,,,,
deep_q,wave_snapshot,12.0934795339291,11.6484499164019,3.0,11,964502,59.0,1,,,,,
deep_q,death,,,,11,964502,60.0050671111096,1,0.0,0.0,1.0,11.9237095037034,59.6185475185172
deep_q,death,,,,11,964502,60.0050671111096,1,0.0,0.0,4.0,11.7719872814813,58.8599364074066
deep_q,death,,,,11,964502,60.0050671111096,1,0.0,10.0,5.0,21.7219872814813,58.6099364074067
deep_q,wave_snapshot,0.1206932,0.12068,4.0,11,964502,1.0,2,,,,,
deep_q,wave_snapshot,0.437418266666667,0.270742800000001,6.0,11,964502,2.0,2,,,,,
deep_q,wave_snapshot,0.636798933333334,0.470123466666667,6.0,11,964502,3.0,2,,,,,
deep_q,wave_snapshot,1.00408493333333,0.670742800000001,6.0,11,964502,4.0,2,,,,,
deep_q,wave_snapshot,1.53491826666667,0.868242800000001,6.0,11,964502,5.0,2,,,,,
deep_q,wave_snapshot,2.23747493333333,2.14737146666667,6.0,11,964502,6.0,2,,,,,
deep_q,wave_snapshot,2.41408493333333,2.32398146666667,6.0,11,964502,7.0,2,,,,,
deep_q,wave_snapshot,2.94951802539683,2.52608122539683,6.0,11,964502,8.0,2,,,,,
deep_q,wave_snapshot,3.3242498,2.73414633333333,6.0,11,964502,9.0,2,,,,,
deep_q,death,,,,11,964502,9.19045644444445,2,0.0,5.0,7.0,6.78562173333333,8.92810866666667
deep_q,wave_snapshot,3.50839048888889,2.9448148,5.0,11,964502,10.0,2,,,,,
deep_q,wave_snapshot,3.84329187777778,3.57012446666667,5.0,11,964502,11.0,2,,,,,
deep_q,wave_snapshot,4.00307793333334,3.76186773333334,5.0,11,964502,12.0,2,,,,,
