config,log_type,mean_fitness_alive,n_alive,run_id,seed,time,wave,damage,dodged_bullets,enemy_id,fitness,lifespan
ga_only,wave_snapshot,0.100244944444444,4.0,11,402339,1.0,1,,,,,
ga_only,wave_snapshot,0.199668788888888,8.0,11,402339,2.0,1,,,,,
ga_only,wave_snapshot,0.298929462962963,12.0,11,402339,3.0,1,,,,,
ga_only,wave_snapshot,0.4227010389418,15.0,11,402339,4.0,1,,,,,
ga_only,wave_snapshot,0.621787705608467,15.0,11,402339,5.0,1,,,,,
ga_only,wave_snapshot,0.821848638941801,15.0,11,402339,6.0,1,,,,,
ga_only,wave_snapshot,1.08862630560847,15.0,11,402339,7.0,1,,,,,
ga_only,wave_snapshot,1.28872655005292,15.0,11,402339,8.0,1,,,,,
ga_only,wave_snapshot,1.48847977227514,15.0,11,402339,9.0,1,,,,,
ga_only,wave_snapshot,1.6883485278307,15.0,11,402339,10.0,1,,,,,
ga_only,wave_snapshot,1.88884777227515,15.0,11,402339,11.0,1,,,,,
ga_only,wave_snapshot,2.08923394370372,15.0,11,402339,12.0,1,,,,,
ga_only,wave_snapshot,2.28769057227515,15.0,11,402339,13.0,1,,,,,
ga_only,wave_snapshot,2.48307717227515,15.0,11,402339,14.0,1,,,,,
ga_only,wave_snapshot,2.68512630560848,15.0,11,402339,15.0,1,,,,,
ga_only,wave_snapshot,2.95463211513229,15.0,11,402339,16.0,1,,,,,
ga_only,wave_snapshot,3.21986190560848,15.0,11,402339,17.0,1,,,,,
ga_only,wave_snapshot,3.42019930560848,15.0,11,402339,18.0,1,,,,,
ga_only,wave_snapshot,3.61945963894182,15.0,11,402339,19.0,1,,,,,
ga_only,wave_snapshot,3.81964370560848,15.0,11,402339,20.0,1,,,,,
ga_only,wave_snapshot,4.01796530560848,15.0,11,402339,21.0,1,,,,,
ga_only,wave_snapshot,4.22162610560848,15.0,11,402339,22.0,1,,,,,
ga_only,wave_snapshot,4.48484899449737,15.0,11,402339,23.0,1,,,,,
ga_only,wave_snapshot,4.68612630560848,15.0,11,402339,24.0,1,,,,,
ga_only,wave_snapshot,4.88757177227515,15.0,11,402339,25.0,1,,,,,
ga_only,wave_snapshot,5.15112630560848,15.0,11,402339,26.0,1,,,,,
ga_only,wave_snapshot,5.41834852783071,15.0,11,402339,27.0,1,,,,,
ga_only,wave_snapshot,5.61889317227515,15.0,11,402339,28.0,1,,,,,
ga_only,wave_snapshot,5.82085037227516,15.0,11,402339,29.0,1,,,,,
ga_only,death,,,11,402339,30.0039176666668,1,0.0,1.0,0.0,6.97298806666669,29.8649403333334
ga_only,death,,,11,402339,30.0039176666668,1,0.0,0.0,1.0,5.92273873333336,29.6136936666668
ga_only,death,,,11,402339,30.0039176666668,1,0.0,0.0,2.0,5.87237351111113,29.3618675555557
ga_only,death,,,11,402339,30.0039176666668,1,0.0,0.0,3.0,5.82237351111113,29.1118675555556
ga_only,death,,,11,402339,30.0039176666668,1,0.0,1.0,4.0,6.77237351111113,28.8618675555557
ga_only,death,,,11,402339,30.0039176666668,1,0.0,0.0,5.0,5.72237351111113,28.6118675555557
ga_only,death,,,11,402339,30.0039176666668,1,0.0,0.0,6.0,5.67237351111114,28.3618675555557
ga_only,death,,,11,402339,30.0039176666668,1,0.0,0.0,7.0,5.62115008888892,28.1057504444446
ga_only,death,,,11,402339,30.0039176666668,1,0.0,0.0,8.0,5.57007853333336,27.8503926666668
ga_only,death,,,11,402339,30.0039176666668,1,0.0,0.0,9.0,5.51899740000003,27.5949870000001
ga_only,death,,,11,402339,30.0039176666668,1,0.0,0.0,10.0,5.46799571111114,27.3399785555557
ga_only,death,,,11,402339,30.0039176666668,1,0.0,0.0,11.0,5.41674626666669,27.0837313333334
ga_only,death,,,11,402339,30.0039176666668,1,0.0,4.0,12.0,9.36566720000002,26.8283360000001
ga_only,death,,,11,402339,30.0039176666668,1,0.0,0.0,13.0,5.31545513333335,26.5772756666668
ga_only,death,,,11,402339,30.0039176666668,1,0.0,0.0,14.0,5.26464589523812,26.3232294761906
ga_only,wave_snapshot,0.121807763636364,4.0,11,402339,1.0,2,,,,,
ga_only,wave_snapshot,0.218850851262626,8.0,11,402339,2.0,2,,,,,
ga_only,wave_snapshot,0.315382845286195,12.0,11,402339,3.0,2,,,,,
ga_only,wave_snapshot,0.437295298451178,15.0,11,402339,4.0,2,,,,,
ga_only,wave_snapshot,0.640423631784512,15.0,11,402339,5.0,2,,,,,
ga_only,wave_snapshot,0.905758587340067,15.0,11,402339,6.0,2,,,,,
ga_only,wave_snapshot,1.106280716633,15.0,11,402339,7.0,2,,,,,
ga_only,wave_snapshot,1.30350003178451,15.0,11,402339,8.0,2,,,,,
ga_only,wave_snapshot,1.50542203178451,15.0,11,402339,9.0,2,,,,,
ga_only,wave_snapshot,1.70409889845118,15.0,11,402339,10.0,2,,,,,
ga_only,wave_snapshot,1.90309889845118,15.0,11,402339,11.0,2,,,,,
