config,log_type,mean_fitness_alive,n_alive,run_id,seed,time,wave,damage,enemy_id,fitness,lifespan
gen_q_learning,wave_snapshot,0.150972222222222,2.0,4,548259,1.0,1,,,,
gen_q_learning,wave_snapshot,0.349647683333334,4.0,4,548259,2.0,1,,,,
gen_q_learning,death,,,4,548259,2.86031500000001,1,0.0,0.0,0.99496084444445,4.97480422222225
gen_q_learning,wave_snapshot,0.547816700000001,4.0,4,548259,3.0,1,,,,
gen_q_learning,wave_snapshot,0.947909477777783,4.0,4,548259,4.0,1,,,,
gen_q_learning,wave_snapshot,1.34799303333334,4.0,4,548259,5.0,1,,,,
gen_q_learning,wave_snapshot,2.99668487777779,4.0,4,548259,6.0,1,,,,
gen_q_learning,death,,,4,548259,6.64850833333344,1,1.0,4.0,6.70151291111113,8.50756455555563
gen_q_learning,death,,,4,548259,6.91083333333344,1,1.0,3.0,7.00796342222225,10.0398171111112
gen_q_learning,wave_snapshot,2.34947524444448,2.0,4,548259,7.0,1,,,,
gen_q_learning,wave_snapshot,2.75035996565661,2.0,4,548259,8.0,1,,,,
gen_q_learning,wave_snapshot,3.14657208686874,2.0,4,548259,9.0,1,,,,
gen_q_learning,death,,,4,548259,9.03333333333346,1,0.0,2.0,3.06012006666672,15.3006003333336
gen_q_learning,wave_snapshot,3.64741804646469,1.0,4,548259,10.0,1,,,,
gen_q_learning,wave_snapshot,4.04726653131316,1.0,4,548259,11.0,1,,,,
gen_q_learning,death,,,4,548259,11.2151165151516,1,0.0,1.0,4.13453225858588,20.6726612929294
gen_q_learning,wave_snapshot,0.293429745454545,2.0,4,548259,1.0,2,,,,
gen_q_learning,wave_snapshot,0.492851236363637,4.0,4,548259,2.0,2,,,,
gen_q_learning,wave_snapshot,0.795422082424245,5.0,4,548259,3.0,2,,,,
gen_q_learning,wave_snapshot,1.1908853369697,5.0,4,548259,4.0,2,,,,
gen_q_learning,wave_snapshot,1.59549976121213,5.0,4,548259,5.0,2,,,,
gen_q_learning,wave_snapshot,1.99171188242426,5.0,4,548259,6.0,2,,,,
gen_q_learning,death,,,4,548259,6.68532960606072,2,0.0,7.0,2.26666666666669,11.3333333333335
gen_q_learning,wave_snapshot,2.39160955000003,4.0,4,548259,7.0,2,,,,
gen_q_learning,wave_snapshot,2.79116958636367,4.0,4,548259,8.0,2,,,,
gen_q_learning,wave_snapshot,3.19130651969701,4.0,4,548259,9.0,2,,,,
gen_q_learning,death,,,4,548259,9.47169324242438,2,0.0,6.0,3.58171224848488,17.9085612424244
gen_q_learning,wave_snapshot,3.524100569697,3.0,4,548259,10.0,2,,,,
gen_q_learning,death,,,4,548259,10.9663025757577,2,1.0,5.0,9.38164486666667,21.9082243333334
gen_q_learning,wave_snapshot,3.68855970606063,2.0,4,548259,11.0,2,,,,
gen_q_learning,wave_snapshot,6.58948632424244,2.0,4,548259,12.0,2,,,,
gen_q_learning,death,,,4,548259,12.8868447575759,2,2.0,9.0,14.3420029515152,21.7100147575758
gen_q_learning,wave_snapshot,9.59151515151515,1.0,4,548259,13.0,2,,,,
gen_q_learning,wave_snapshot,9.99136363636362,1.0,4,548259,14.0,2,,,,
gen_q_learning,wave_snapshot,15.3916666666666,1.0,4,548259,15.0,2,,,,
gen_q_learning,death,,,4,548259,15.1357884242425,2,2.0,8.0,15.4464554,27.2322769999998
gen_q_learning,wave_snapshot,0.293245242424242,2.0,4,548259,1.0,3,,,,
gen_q_learning,wave_snapshot,1.74227942424242,4.0,4,548259,2.0,3,,,,
gen_q_learning,wave_snapshot,2.79261416363637,5.0,4,548259,3.0,3,,,,
gen_q_learning,death,,,4,548259,3.47110851515153,3,1.0,12.0,5.98067470303031,4.90337351515154
gen_q_learning,wave_snapshot,2.44214862727273,4.0,4,548259,4.0,3,,,,
gen_q_learning,wave_snapshot,2.84199711212123,4.0,4,548259,5.0,3,,,,
gen_q_learning,death,,,4,548259,5.070350939394,3,1.0,10.0,7.02255503636366,10.1127751818183
gen_q_learning,wave_snapshot,1.85778740404042,3.0,4,548259,6.0,3,,,,
gen_q_learning,wave_snapshot,2.25918408282832,3.0,4,548259,7.0,3,,,,
gen_q_learning,death,,,4,548259,7.84004790909103,3,1.0,13.0,7.52666666666671,12.6333333333335
gen_q_learning,wave_snapshot,2.69155948181822,2.0,4,548259,8.0,3,,,,
gen_q_learning,wave_snapshot,3.09256519090914,2.0,4,548259,9.0,3,,,,
gen_q_learning,death,,,4,548259,9.64004790909101,3,0.0,11.0,3.64846371515155,18.2423185757578
gen_q_learning,wave_snapshot,3.1915151515152,1.0,4,548259,10.0,3,,,,
gen_q_learning,wave_snapshot,3.59133633333337,1.0,4,548259,11.0,3,,,,
gen_q_learning,death,,,4,548259,11.888949939394,3,0.0,14.0,3.9464470727273,19.7322353636365
gen_q_learning,wave_snapshot,0.297785590909091,2.0,4,548259,1.0,4,,,,
gen_q_learning,wave_snapshot,0.496736989393939,4.0,4,548259,2.0,4,,,,
gen_q_learning,wave_snapshot,0.796847806233768,5.0,4,548259,3.0,4,,,,
gen_q_learning,death,,,4,548259,3.09772696969698,4,0.0,16.0,1.03351727878788,5.16758639393941
gen_q_learning,wave_snapshot,1.14220154415585,4.0,4,548259,4.0,4,,,,
gen_q_learning,wave_snapshot,1.54354970779222,4.0,4,548259,5.0,4,,,,
gen_q_learning,death,,,4,548259,5.61789659932666,4,0.0,17.0,1.84046882289564,9.20234411447822
gen_q_learning,wave_snapshot,1.93005878614721,3.0,4,548259,6.0,4,,,,
gen_q_learning,wave_snapshot,3.99290064069267,3.0,4,548259,7.0,4,,,,
gen_q_learning,death,,,4,548259,7.98580306060619,4,2.0,15.0,13.1889025515152,15.944512757576
gen_q_learning,wave_snapshot,2.4915390701299,2.0,4,548259,8.0,4,,,,
gen_q_learning,wave_snapshot,2.89180270043294,2.0,4,548259,9.0,4,,,,
gen_q_learning,wave_snapshot,3.29165118528143,2.0,4,548259,10.0,4,,,,
gen_q_learning,death,,,4,548259,10.0492424242425,4,0.0,18.0,3.41272727272732,17.0636363636366
gen_q_learning,wave_snapshot,3.59163570389613,1.0,4,548259,11.0,4,,,,
gen_q_learning,death,,,4,548259,11.9196969696971,4,0.0,19.0,3.96012055238097,19.8006027619049
gen_q_learning,wave_snapshot,0.293096854545454,2.0,4,548259,1.0,5,,,,
gen_q_learning,wave_snapshot,0.493512712121213,4.0,4,548259,2.0,5,,,,
gen_q_learning,wave_snapshot,0.792450863030305,5.0,4,548259,3.0,5,,,,
gen_q_learning,wave_snapshot,1.19245086303031,5.0,4,548259,4.0,5,,,,
gen_q_learning,wave_snapshot,1.59691519636365,5.0,4,548259,5.0,5,,,,
gen_q_learning,death,,,4,548259,5.61969696969705,5,0.0,21.0,2.04119370909093,10.2059685454547
gen_q_learning,wave_snapshot,1.94238636363638,4.0,4,548259,6.0,5,,,,
gen_q_learning,death,,,4,548259,6.00151515151524,5,0.0,23.0,1.79348484848487,8.96742424242433
gen_q_learning,wave_snapshot,5.72601010101013,3.0,4,548259,7.0,5,,,,
gen_q_learning,wave_snapshot,7.79665578585863,3.0,4,548259,8.0,5,,,,
gen_q_learning,death,,,4,548259,8.55141572727287,5,2.0,22.0,13.0136164787879,15.0680823939396
gen_q_learning,wave_snapshot,5.69672662424246,2.0,4,548259,9.0,5,,,,
gen_q_learning,death,,,4,548259,9.19924242424256,5,1.0,20.0,8.67484848484852,18.3742424242426
gen_q_learning,wave_snapshot,3.19602630909096,1.0,4,548259,10.0,5,,,,
gen_q_learning,wave_snapshot,3.59151515151519,1.0,4,548259,11.0,5,,,,
gen_q_learning,wave_snapshot,3.99181818181821,1.0,4,548259,12.0,5,,,,
gen_q_learning,death,,,4,548259,12.2497796363638,5,0.0,24.0,4.09283471515154,20.4641735757577
gen_q_learning,wave_snapshot,0.296058015151515,2.0,4,548259,1.0,6,,,,
gen_q_learning,wave_snapshot,0.493508805555556,4.0,4,548259,2.0,6,,,,
gen_q_learning,wave_snapshot,0.793193674074077,5.0,4,548259,3.0,6,,,,
gen_q_learning,wave_snapshot,1.19255788619529,5.0,4,548259,4.0,6,,,,
gen_q_learning,death,,,4,548259,4.7045454545455,6,1.0,25.0,6.87939393939396,9.3969696969698
gen_q_learning,wave_snapshot,1.49266705471382,4.0,4,548259,5.0,6,,,,
gen_q_learning,wave_snapshot,3.14246975774413,4.0,4,548259,6.0,6,,,,
gen_q_learning,death,,,4,548259,6.42392775757586,6,1.0,26.0,7.36205309696973,11.8102654848486
gen_q_learning,wave_snapshot,2.19113355780025,3.0,4,548259,7.0,6,,,,
gen_q_learning,wave_snapshot,2.59204396386086,3.0,4,548259,8.0,6,,,,
gen_q_learning,death,,,4,548259,8.58863636363651,6,0.0,28.0,2.8269528619529,14.1347643097645
gen_q_learning,wave_snapshot,2.99236066936031,2.0,4,548259,9.0,6,,,,
gen_q_learning,death,,,4,548259,9.57424242424257,6,0.0,27.0,3.42181818181822,17.1090909090911
gen_q_learning,wave_snapshot,3.19053872053877,1.0,4,548259,10.0,6,,,,
gen_q_learning,wave_snapshot,8.59047929629633,1.0,4,548259,11.0,6,,,,
gen_q_learning,death,,,4,548259,11.4075757575759,6,1.0,29.0,8.75326599326602,18.7663299663301
gen_q_learning,wave_snapshot,0.297989387878788,2.0,4,548259,1.0,7,,,,
gen_q_learning,wave_snapshot,0.495614560606061,4.0,4,548259,2.0,7,,,,
gen_q_learning,wave_snapshot,0.794621135757578,5.0,4,548259,3.0,7,,,,
gen_q_learning,wave_snapshot,1.19495799636364,5.0,4,548259,4.0,7,,,,
gen_q_learning,wave_snapshot,1.59408998424244,5.0,4,548259,5.0,7,,,,
gen_q_learning,death,,,4,548259,5.00887524242429,7,0.0,32.0,1.59560606060607,7.97803030303037
gen_q_learning,wave_snapshot,4.49543551060608,4.0,4,548259,6.0,7,,,,
gen_q_learning,wave_snapshot,4.89437490454548,4.0,4,548259,7.0,7,,,,
gen_q_learning,death,,,4,548259,7.53766312121226,7,1.0,34.0,7.20667235757578,11.0333617878789
gen_q_learning,wave_snapshot,4.59562803838388,3.0,4,548259,8.0,7,,,,
gen_q_learning,wave_snapshot,4.99588181414145,3.0,4,548259,9.0,7,,,,
gen_q_learning,death,,,4,548259,9.05736009090925,7,0.0,31.0,3.41974016969701,17.098700848485
gen_q_learning,wave_snapshot,6.19910095757578,2.0,4,548259,10.0,7,,,,
gen_q_learning,wave_snapshot,9.09433142424243,2.0,4,548259,11.0,7,,,,
gen_q_learning,death,,,4,548259,11.3679661515153,7,2.0,30.0,14.5453295151515,22.7266475757575
gen_q_learning,wave_snapshot,4.19318181818182,1.0,4,548259,12.0,7,,,,
gen_q_learning,wave_snapshot,4.59287878787878,1.0,4,548259,13.0,7,,,,
gen_q_learning,death,,,4,548259,13.1243554242425,7,0.0,33.0,4.64158088484847,23.2079044242424
gen_q_learning,wave_snapshot,0.29750183030303,2.0,4,548259,1.0,8,,,,
gen_q_learning,wave_snapshot,0.496754406060606,4.0,4,548259,2.0,8,,,,
gen_q_learning,death,,,4,548259,2.64166666666667,8,0.0,35.0,1.05348484848485,5.26742424242427
gen_q_learning,wave_snapshot,0.695359371212122,4.0,4,548259,3.0,8,,,,
gen_q_learning,wave_snapshot,1.09500123961039,4.0,4,548259,4.0,8,,,,
gen_q_learning,wave_snapshot,1.49551201969698,4.0,4,548259,5.0,8,,,,
gen_q_learning,death,,,4,548259,5.13939393939399,8,0.0,36.0,1.8528787878788,9.26439393939401
gen_q_learning,wave_snapshot,1.79468034949497,3.0,4,548259,6.0,8,,,,
gen_q_learning,death,,,4,548259,6.58939393939403,8,0.0,37.0,2.23287878787881,11.1643939393941
gen_q_learning,wave_snapshot,2.09179325151517,2.0,4,548259,7.0,8,,,,
gen_q_learning,wave_snapshot,2.49315688787882,2.0,4,548259,8.0,8,,,,
gen_q_learning,death,,,4,548259,8.75505175757589,8,1.0,38.0,7.8951012606061,14.4755063030305
